ticker,company,sector,market_cap,revenue,net_income,total_debt,debt_to_equity,operating_margin,eps,eps_forward,return_on_equity,roe_pct,d_to_e,op_margin_pct,eps_growth_pct,score_roe,score_de,score_margin,score_eps_growth,health_score
AAPL,Apple Inc.,Technology,3739225686016,435617005568,117776998400,90509000704,102.63,0.35374,7.89,9.31526,1.5202099,152.02099,102.63,35.374,18.064131812420793,75.73300188873114,90.7009191343153,56.52620157766635,2.328908238427796,56.32225770978514
MSFT,Microsoft Corporation,Technology,2770195972096,305453006848,119262003200,123278000128,31.539,0.47094002,15.99,18.85049,0.34390998,34.390998,31.539,47.094002,17.88924327704816,16.23767687696931,97.63230532380302,73.7104513064133,2.298510362509348,47.46973596742375
NVDA,NVIDIA Corporation,Technology,4305144774656,215938007040,120066998272,11411999744,7.255,0.65024,4.9,11.11635,1.01485,101.485,7.255,65.024,126.86428571428571,50.17272513685356,100.0,100.0,21.239773785846904,67.85312473067512
GOOGL,Alphabet Inc.,Communication Services,3612527296512,402835996672,132169998336,66995998720,16.133,0.31568,10.81,13.42912,0.35705003,35.705003000000005,16.133,31.568,24.228677150786297,16.90227910309273,99.13439329042676,50.94572006686021,3.4003854732849157,42.59569448341616
META,"Meta Platforms, Inc.",Communication Services,1483457822720,200965996544,60458000384,85080997888,39.164,0.41314998,23.51,35.88,0.30238,30.238,39.164,41.314997999999996,52.61590812420247,14.137158449804943,96.88886635551106,65.23708688894753,8.334451179533911,46.14939071844936
ORCL,Oracle Corporation,Technology,421498912768,64076001280,16188000256,162164998144,415.265,0.32676,5.58,7.9729,0.57572,57.572,415.265,32.676,42.88351254480286,27.96224834585372,60.21894643241921,52.570305856133245,6.642835702387353,36.84858408419838
IBM,International Business Machines Corporation,Technology,231059783680,67534999552,10570999808,64606998528,197.328,0.24768999,11.15,13.40365,0.35158002,35.158001999999996,197.328,24.768999,20.21210762331839,16.62561494862472,81.46784589899566,40.97680273305769,2.702254050012137,35.44312940767255
TXN,Texas Instruments Incorporated,Technology,179115458560,17681999872,4973000192,14778999808,90.819,0.34027,5.46,7.9086,0.30148,30.148000000000003,90.819,34.027,44.84615384615385,14.091637922599103,91.85249390867548,54.5511861822234,6.983967993442174,41.86982150173504
QCOM,QUALCOMM Incorporated,Technology,138290479104,44866998272,5365000192,14817000448,64.218,0.27473,4.96,11.08936,0.2148,21.48,64.218,27.473,123.57580645161288,9.707505369041233,94.44609653104065,44.94149731679423,20.668193811355565,42.44082325705792
ADBE,Adobe Inc.,Technology,99104686080,24452999168,7208000000,6670000128,58.34,0.38762,17.16,26.35597,0.58774,58.774,58.34,38.762,53.58956876456876,28.570200275869475,95.01920266292527,61.49379783584059,8.503685916787948,48.39672167285582
JNJ,Johnson & Johnson,Healthcare,590220427264,94193000448,26804000768,49332998144,60.499,0.23966,11.02,12.56869,0.35029998,35.029998,60.499,23.966,14.053448275862074,16.56087262013076,94.80869974718202,39.79941937186593,1.6317998760488224,38.20019790380688
UNH,UnitedHealth Group Incorporated,Healthcare,248045109248,447567003648,12056000512,83003998208,81.618,0.00336,13.23,20.0279,0.12538,12.537999999999998,81.618,0.336,51.3824640967498,5.184788099323368,92.74959318044654,5.152341573560893,8.120062749675037,27.80169640075146
PFE,Pfizer Inc.,Healthcare,160952041472,62578999296,7745999872,67647000576,77.957,0.23945,1.36,2.82311,0.08886,8.886,77.957,23.945,107.5816176470588,3.3376662620375663,93.10654138541925,39.76862848596816,17.888198166351486,38.52525857494412
ABBV,AbbVie Inc.,Healthcare,381168287744,61160001536,4185999872,68400001024,80.099,0.34108,2.37,16.11592,62.25,200.0,80.099,34.108,579.9966244725737,100.0,92.89769597294956,54.669951027829086,100.0,86.89191175019467
MRK,"Merck & Co., Inc.",Healthcare,298318561280,65010999296,18254000128,50533998592,95.959,0.32773998,7.28,9.76508,0.36882,36.882,95.959,32.773998,34.13571428571427,17.497584924867063,91.35134291890226,52.7139937245242,5.122355898077668,41.6713193665928
TMO,Thermo Fisher Scientific Inc.,Healthcare,184672256000,44556001280,6704000000,41358999552,77.255,0.21170999,17.74,26.90149,0.13024001,13.024000999999998,77.255,21.170999,51.64312288613304,5.430599452018532,93.1749865205984,35.701297615905695,8.16536859845376,35.6180630467441
ABT,Abbott Laboratories,Healthcare,179433144320,44328001536,6499999744,14136000512,26.787,0.21616,3.72,6.104,0.12961,12.961,26.787,21.616,64.08602150537634,5.398734577190811,98.09562623886183,36.35377261663881,10.32810435175901,37.54405944611261
LLY,Eli Lilly and Company,Healthcare,857808306176,65179000832,20640000000,43865001984,165.31,0.44896,22.99,42.08527,1.01159,101.15899999999999,165.31,44.896,83.0590256633319,50.0078396716413,84.58960706447397,70.48766898331426,13.625856402600284,54.67774303050746
MDT,Medtronic plc,Healthcare,110619533312,35484000256,4613000192,28071000064,57.06,0.20007,3.58,6.06219,0.0939,9.39,57.06,20.007,69.33491620111732,3.592581214390263,95.14400290940576,33.99460426380458,11.24042973278053,35.99290453009529
CVS,CVS Health Corporation,Healthcare,92152602624,399833989120,1768000000,79949996032,106.06,0.01572,1.39,8.17353,0.022869999,2.2869998999999996,106.06,1.572,488.0237410071943,0.0,90.36649347382463,6.964605143544178,84.01393039580597,45.336257253293695
JPM,JPMorgan Chase & Co.,Financial Services,801166983168,168235008000,55680999424,1025994981376,80.099,0.41062,20.03,23.31829,0.16134001,16.134001,80.099,41.062,16.416824762855715,7.003586558798064,92.89769597294956,64.86613295797777,2.0425850944574373,41.702500146045715
BAC,Bank of America Corporation,Financial Services,354061615104,107421999104,29055000576,767072010240,80.099,0.41627997,3.81,4.9669,0.10217,10.217,80.099,41.627997,30.364829396325455,4.010864281048356,92.89769597294956,65.69601624585789,4.466927623570384,41.76787603085654
WFC,Wells Fargo & Company,Financial Services,250430193664,80041000960,20284999680,443507998720,80.099,0.29938,6.26,7.92623,0.11732,11.732,80.099,29.938,26.617092651757197,4.777126489013304,92.89769597294956,48.55576082812821,3.8155227942391843,37.51152652108256
GS,"The Goldman Sachs Group, Inc.",Financial Services,257106739200,59396001792,16243999744,747582980096,596.073,0.38319,51.35,65.18562,0.13861,13.861,596.073,38.318999999999996,26.943758519961047,5.853939849249196,42.59013161550995,60.844256766663726,3.872301521943062,28.29015743834148
MS,Morgan Stanley,Financial Services,265807790080,70296002560,16248999936,513408008192,455.747,0.38625,10.2,12.36102,0.15614,15.614,455.747,38.625,21.186470588235302,6.740578562491805,56.27194363708868,61.29292396117416,2.871610860302573,31.794264255264306
BLK,"BlackRock, Inc.",Financial Services,151429791744,24216000512,5552999936,14995999744,24.367,0.36744,35.29,61.69514,0.107159995,10.715999499999999,24.367,36.744,74.82329271748371,4.263250062331132,98.331576704864,58.53494032433066,12.194380133146996,43.33103680616821
AXP,American Express Company,Financial Services,209307418624,66972999680,10700999680,63908999168,190.921,0.17459999,15.37,20.14455,0.33992,33.992,190.921,17.459999,31.064085881587506,16.03587021792403,82.09252963274602,30.260108207970443,4.58846739076482,33.24424386235133
USB,U.S. Bancorp,Financial Services,82237112320,26353999872,7193999872,82744999936,80.099,0.39334,4.62,5.57847,0.12184,12.184000000000001,80.099,39.334,20.7461038961039,5.005740692313738,92.89769597294956,62.33248291838949,2.7950694675948933,40.75774726281192
PNC,"The PNC Financial Services Group, Inc.",Financial Services,85124243456,22320001024,6576000000,60758999040,80.099,0.39262,16.58,20.64044,0.12158,12.158,80.099,39.262,24.489987937273845,4.992590317787606,92.89769597294956,62.226914166739974,3.4458046475428272,40.89075127625499
C,Citigroup Inc.,Financial Services,202579886080,75716001792,13024000000,777180020736,80.099,0.25656998,6.99,12.14,0.06831,6.8309999999999995,80.099,25.656997999999998,73.6766809728183,2.2982808908375874,92.89769597294956,42.27881587050233,11.99508427040385,37.36746925117333
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2287826370560,716923994112,77669998592,178546999296,43.435,0.10533,7.16,9.392,0.22286,22.286,43.435,10.533,31.17318435754189,10.1151669793513,96.47244303307501,20.103516025922993,4.607430108520372,32.824639036717414
WMT,Walmart Inc.,Consumer Defensive,988099641344,713163014144,21892999168,68425998336,64.443,0.04567,2.73,3.28421,0.21847,21.847,64.443,4.567,20.300732600732594,9.893127963313933,94.42415898771401,11.355971965631507,2.717658210501972,29.597729281790354
HD,"The Home Depot, Inc.",Consumer Cyclical,330227580928,164683005952,14156000256,65908998144,514.392,0.100760005,14.24,16.30944,1.45541,145.541,514.392,10.0760005,14.53258426966291,72.45552898774712,50.55404484423857,19.433448432597284,1.7150798718277749,36.03952553410269
MCD,McDonald's Corporation,Consumer Cyclical,218919567360,26884999168,8562999808,54829998080,80.099,0.45071,11.97,14.36754,0.250850005,25.0850005,80.099,45.071,20.029573934837085,11.530855628344696,92.89769597294956,70.74425969912906,2.670527348192782,44.46083466215403
NKE,"NIKE, Inc.",Consumer Cyclical,66854113280,46513000448,2524000000,11281999872,80.099,0.08095,1.71,1.98223,0.17950001,17.950001,80.099,8.094999999999999,15.91988304093567,7.92208964108476,92.89769597294956,16.52884079645758,1.9562102342103704,29.82620916117557
SBUX,Starbucks Corporation,Consumer Cyclical,103277543424,37701701632,1368899968,25488199680,80.099,0.09262,1.2,2.95326,0.250850005,25.0850005,80.099,9.261999999999999,146.10500000000002,11.530855628344696,92.89769597294956,18.23993431277675,24.58405729873275,36.81313580320094
TGT,Target Corporation,Consumer Defensive,54745710592,104779997184,3704999936,20290000896,125.518,0.049089998,8.13,8.50928,0.24034001,24.034001,125.518,4.9089998,4.665190651906514,10.999277280199442,88.46933472693608,11.857423242720158,0.0,27.83150881246392
COST,Costco Wholesale Corporation,Consumer Defensive,441106759680,286265016320,8549000192,8335000064,25.976,0.03744,19.23,22.44116,0.29650998,29.650998,25.976,3.744,16.698699947997916,13.84026244412848,98.17469889503033,10.149262484971116,2.091578625589627,31.063950612429892
PG,The Procter & Gamble Company,Consumer Defensive,335159558144,85259001856,16161999872,36638998528,68.719,0.26297,6.75,7.31857,0.31562,31.562,68.719,26.296999999999997,8.423259259259263,14.806815983366386,94.00724816431513,43.21720770651887,0.6532006399156964,38.17111812352902
KO,The Coca-Cola Company,Consumer Defensive,326663700480,47941001216,13107000320,47914000384,139.793,0.24656999,3.04,3.45815,0.43323,43.323,139.793,24.656999,13.75493421052631,20.75533732189824,87.07751947810097,40.81258467493622,1.5799142936196844,37.55633894213877
XOM,Exxon Mobil Corporation,Energy,671973965824,323904995328,28843999232,50487001088,18.936,0.09527001,6.7,9.28156,0.110810004,11.0810004,18.936,9.527001,38.53074626865672,4.44786154453786,98.861100250673,18.62848743438609,5.886268961849601,31.955929547861636
CVX,Chevron Corporation,Energy,394012819456,184654004224,12298999808,46742999040,24.323,0.09462,6.62,10.05694,0.07231,7.231,24.323,9.462,51.91752265861028,2.5005943450857586,98.33586671333677,18.533180845136506,8.213062806756442,31.895676177578867
COP,ConocoPhillips,Energy,156141600768,60279001088,7960999936,24394000384,37.828,0.16299999,6.35,7.19713,0.12357,12.357,37.828,16.299999,13.340629921259842,5.093241261276072,97.01912661277507,28.559278320283866,1.507902881603631,33.04488726898466
BA,The Boeing Company,Industrials,164241424384,89462996992,1888999936,56364998656,1032.894,-0.03178,2.49,4.69741,2.90084,200.0,1032.894,-3.1780000000000004,88.65100401606423,100.0,0.0,0.0,14.597814134093776,28.649453533523445
CAT,Caterpillar Inc.,Industrials,343936925696,67589001216,8883999744,44058001408,206.67,0.16025,18.85,27.76669,0.43526,43.525999999999996,206.67,16.025,47.303395225464186,20.858011399929186,80.55699910007323,28.156065804521862,7.411068136918128,34.2455361103606
GE,GE Aerospace,Industrials,310832562176,45854998528,8600999936,21557000192,114.07,0.19549,8.06,8.58812,0.44692,44.692,114.07,19.549,6.552357320099249,21.447755119062606,89.58551693139596,33.32306970470074,0.3280138294652908,36.17108889615614
HON,Honeywell International Inc.,Industrials,144997629952,37441998848,4424999936,35562999808,236.613,0.15413,6.94,11.477,0.26136,26.136,236.613,15.412999999999998,65.37463976945244,12.062433976489945,77.63755083416291,27.258731415501007,10.552082773295728,31.877699749862394
UPS,"United Parcel Service, Inc.",Industrials,83871211520,88661000192,5571999744,28590000128,175.884,0.107480004,6.56,7.96648,0.33772,33.772000000000006,175.884,10.7480004,21.44024390243903,15.924597818087538,83.55864002831407,20.4187566347028,2.915719924971344,30.704428601518938
LMT,Lockheed Martin Corporation,Industrials,141907050496,75048001536,5016999936,22770999296,338.804,0.090100005,21.52,31.97966,0.76865,76.86500000000001,338.804,9.0100005,48.604368029739774,37.720332027878634,67.67390865596961,17.870444415119792,7.637193936378811,32.72546975883671
RTX,RTX Corporation,Industrials,262875496448,88603000832,6732000256,39956000768,59.513,0.110240005,4.96,7.51669,0.109519996,10.951999599999999,59.513,11.0240005,51.5461693548387,4.382615050915916,94.904834937049,20.823436995982526,8.14851682822273,32.064850953042544
